Character / Team,Year Debuted,Company,Creator/s,First Appearance,Decade
Crossfire,1979,Marvel,"Steven Grant, Jim Craig",Marvel Two-in-One #52,1970
Letha,1979,Marvel,"Mark Gruenwald, Ralph Macchio, John Byrne",Marvel Two-in-One #54,1970
Poundcakes,1979,Marvel,"Mark Gruenwald, Ralph Macchio, John Byrne",Marvel Two-in-One #54,1970
Screaming Mimi,1979,Marvel,"Mark Gruenwald, Ralph Macchio, John Byrne",Marvel Two-in-One #54,1970
Zaran,1979,Marvel,Mike Zeck,Master of Kung Fu #77,1970
Firebug,1979,DC,,Batman #318,1970
Cutthroat,1980,Marvel,,Marvel Team-Up Vol.1 #89,1980
Destiny,1980,Marvel,"Chris Claremont, John Byrne",Uncanny X-Men #141,1980
Sebastian Shaw,1980,Marvel,"Chris Claremont, John Byrne",Uncanny X-Men #131,1980
Rainbow Raider,1980,DC,Cary Bates,Flash #286,1980
Dansen Macabre,1980,Marvel,"Steven Grant, Tom Sutton, Carmine Infantino",Marvel Team-Up vol.1 #93,1980
Anaconda,1980,Marvel,"Mark Gruenwald, Ralph Macchio",Marvel Two-in-One #64,1980
H.I.V.E.,1980,DC,"Marv Wolfman, George Pérez",New Teen Titans #2,1980
Mongul,1980,DC,"Mongul #1: Len Wein, Jim Starlin; Mongul #2: Jeph Loeb",Mongul #1: DC Comics Presents #27; Mongul #2: Showcase '95 #8,1980
Deathstroke,1980,DC,"Marv Wolfman, George Pérez",New Teen Titans (vol. 1) #2,1980
Trigon,1980,DC,"Marv Wolfman, George Pérez",New Teen Titans (vol. 1) #2,1980
Electrocutioner,1981,DC,"Marv Wolfman, Michael Fleisher, Irv Novick",Batman #331,1980
Fearsome Five,1981,DC,"Marv Wolfman, George Pérez",New Teen Titans #3,1980
Gizmo,1981,DC,"Marv Wolfman, George Pérez",New Teen Titans #3,1980
Mammoth,1981,DC,"Marv Wolfman, George Pérez",New Teen Titans #3,1980
Maelstrom,1981,Marvel,Mark Gruenwald,Marvel Two-in-One #71,1980
Jack O'Lantern,1981,Marvel,"Tom DeFalco, Steve Ditko",Machine Man #19,1980
Nekron,1981,DC,"Mike W. Barr, Joe Staton",Tales of the Green Lantern Corps #2,1980
Neutron,1981,DC,"Marv Wolfman, Joe Staton",Action Comics #525,1980
Ghost Maker,1982,Marvel,"Doug Moench, Gene Day",Master of Kung Fu #110,1980
Magenta,1982,DC,"Marv Wolfman, George Pérez",The New Teen Titans #17|-,1980
Gargantua,1982,Marvel,,Defenders #126,1980
Vermin,1982,Marvel,"J. M. DeMatteis, Mike Zeck",Captain America #272,1980
Grendel,1982,Comico,Matt Wagner,Comico Primer #2,1980
Hobgoblin,1983,Marvel,"Roger Stern, John Romita, Jr.",Spectacular Spider-Man #43 (as Roderick Kingsley); Amazing Spider-Man #238 (as Hobgoblin),1980
Killer Croc,1983,DC,"Gerry Conway, Don Newton",Batman (vol. 1) #357,1980
Jason Todd,1983,DC,"Robin: Gerry Conway, Don Newton; Red Hood: Judd Winick, Doug Mahnke",Batman (vol. 1) #357,1980
Lobo,1983,DC,"Roger Slifer, Keith Giffen",Omega Men (vol. 1) #3,1980
Lady Deathstrike,1983,Marvel,"Dennis O'Neil, Larry Hama, Klaus Janson, William Johnson",Daredevil #197,1980
Deathbolt,1983,DC,Roy Thomas,All-Star Squadron #21,1980
Brainwave,1983,DC,"Roy Thomas, Jerry Ordway, Mike Machlan",All-Star Squadron #24,1980
Northwind,1983,DC,"Roy Thomas, Jerry Ordway, Mike Machlan",All-Star Squadron #25,1980
Master of the World,1983,Marvel,John Byrne,"Alpha Flight Vol. 1, #2",1980
Nocturna,1983,DC,Doug Moench,Detective Comics #529,1980
Iron Maiden,1983,Marvel,"Ralph Macchio, George Pérez",Marvel Fanfare vol.1 #11,1980
